,WESTCHESTER AV/SOUTHERN BL,WESTCHESTER AV/INTERVALE AV,WESTCHESTER AV/COLGATE AV,CASTLE HILL AV/ZEREGA AV,METROPOLITAN AV/UNIONPORT RD,E 149 ST/ST ANNS AV,WESTCHESTER AV/ELDER AV,E 149 ST/BERGEN AV,METROPOLITAN AV/BENEDICT AV,WESTCHESTER AV/ COLGATE AV,E TREMONT AV/OVERING ST,WESTCHESTER AV/HOE AV,E TREMONT AV/SILVER ST,BERGEN AV/WESTCHESTER AV,E TREMONT AV/ST PETERS AV,E TREMONT AV/LURTING AV,CASTLE HILL AV/E TREMONT AV,E 149 ST/BROOK AV,LANE AV/BENSON AV,WESTCHESTER AV/MORRISON AV,METROPOLITAN AV/PURDY ST,WESTCHESTER AV/WHITE PLAINS RD,WESTCHESTER AV/ST ANNS AV,METROPOLITAN AV/PINE ST,HUGH GRANT CIR/CROSS BX SVC RD,WESTCHESTER AV/ NOBLE AV,WESTCHESTER AV/ FTELEY AV,WESTCHESTER AV/TINTON AV,E TREMONT AV/ST RAYMONDS AV,METROPOLITAN AV/WOOD RD,WESTCHESTER AV/THIERIOT AV,AILEEN B RYAN OVAL/UNIONPORT RD,METROPOLITAN AV/CASTLEHILL AV,WESTCHESTER AV/ROSEDALE AV,WESTCHESTER AV/E 163 ST,WESTCHESTER AV/TIFFANY ST,METROPOLITAN AV/PARKCHESTER RD,METROPOLITAN AV/MAPLE DR,METROPOLITAN AV/WOOD AV,WESTCHESTER AV/E 156 ST,WESTCHESTER AV/ST LAWRENCE AV,WESTCHESTER AV/JACKSON AV,WESTCHESTER AV/SIMPSON ST,METROPOLITAN AV/RED OAK DR,WESTCHESTER AV/BRYANT AV,WESTCHESTER AV/MANOR AV,WESTCHESTER AV/PROSPECT AV,WESTCHESTER AV/HOME ST,WESTCHESTER AV/REV J POLITE AV,WESTCHESTER AV/WHITLOCK AV,West Farms Depot (WF)
WESTCHESTER AV/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,
WESTCHESTER AV/INTERVALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 THE HUB via MTROPLTN OVAL via WESTCHSTER,0.179 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,
WESTCHESTER AV/COLGATE AV,,,,,,,0.238 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/ZEREGA AV,,,,,,,,,,,,,,,0.365 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,
E 149 ST/ST ANNS AV,,,,,,,,,,,,,,,,,,0.184 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ELDER AV,,,,,,,,,,0.238 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 WESTCHESTER AV via METROPOLITAN OVAL,,,,,
E 149 ST/BERGEN AV,,,,,,,,,,,,,,0.124 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/BENEDICT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,
WESTCHESTER AV/ COLGATE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,
E TREMONT AV/OVERING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/HOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,
E TREMONT AV/SILVER ST,,,,,,,,,,,,,,,,0.346 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,0.32 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/ST PETERS AV,,,,,,,,,,,0.175 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/LURTING AV,,,,,,,,,,,,,,,,,0.295 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,
E 149 ST/BROOK AV,,,,,,,,0.611 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANE AV/BENSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/MORRISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,0.162 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,
METROPOLITAN AV/PURDY ST,,,,0.62 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,
WESTCHESTER AV/WHITE PLAINS RD,,,,,,,,,,,,,,,,,,,,,,,,,0.21 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,0.194 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ST ANNS AV,,,,,,0.215 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,
METROPOLITAN AV/PINE ST,,,,,0.422 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGH GRANT CIR/CROSS BX SVC RD,,,,,,,,,0.154 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,0.308 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ NOBLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,
WESTCHESTER AV/ FTELEY AV,,,,,,,,,,,,,,,,,,,,0.254 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,0.161 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/TINTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,
E TREMONT AV/ST RAYMONDS AV,,,,,,,,,,,,,0.357 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,0.394 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/WOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,
WESTCHESTER AV/THIERIOT AV,,,,,,,,,,,,,,,,,,,,,,0.171 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,0.241 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,
AILEEN B RYAN OVAL/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,
METROPOLITAN AV/CASTLEHILL AV,,,,,,,,,,,,,,,,,,,,,0.407 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ROSEDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,1.58 to depot of Bx4A
WESTCHESTER AV/E 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,
WESTCHESTER AV/TIFFANY ST,,0.179 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,
METROPOLITAN AV/PARKCHESTER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/MAPLE DR,,,,,,,,,,,,,,,,,,,,,0.289 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/WOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,0.419 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/E 156 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351 WESTCHESTER AV via METROPOLITAN OVAL,,,,
WESTCHESTER AV/ST LAWRENCE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 WESTCHESTER AV via METROPOLITAN OVAL,,,0.164 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,
WESTCHESTER AV/JACKSON AV,,,,,,,,,,,,,,,,,,,,,,,0.335 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,0.298 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,
WESTCHESTER AV/SIMPSON ST,0.126 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,
METROPOLITAN AV/RED OAK DR,,,,,,,,,,,,,,,,,,,,,,,,0.165 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/BRYANT AV,,,,,,,,,,,,0.22 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 WESTCHESTER AV via METROPOLITAN OVAL,
WESTCHESTER AV/MANOR AV,,,,,,,0.237 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,0.162 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,0.279 WESTCHESTER AV via METROPOLITAN OVAL,,
WESTCHESTER AV/HOME ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,
WESTCHESTER AV/REV J POLITE AV,,0.235 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/WHITLOCK AV,,,0.388 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,
