,BROADWAY/W 174 ST,E 127 ST/2 AV,BROADWAY/RIVERSIDE DR,AMSTERDAM AV/W 161 ST,AMSTERDAM AV/W 156 ST,DYCKMAN ST/10 AV,AMSTERDAM AV/W 145 ST,BROADWAY/W 190 ST,DYCKMAN ST/BROADWAY,BROADWAY/W 176 ST,AMSTERDAM AV/W 158 ST,BROADWAY/DONGAN PL,AMSTERDAM AV/W 131 ST,DYCKMAN ST/SHERMAN AV,E 125 ST/3 AV,BROADWAY/SHERMAN AV,W 125 ST/5 AV,BROADWAY/W 220 ST,DYCKMAN ST/NAGLE AV,BROADWAY/W 170 ST,BROADWAY/W 173 ST,ST NICHOLAS AV/W 162 ST,AMSTERDAM AV/W 138 ST,BROADWAY/W 171 ST,BROADWAY/W 187 ST,AMSTERDAM AV/W 155 ST,E 125 ST/LEXINGTON AV,BROADWAY/W 193 ST,W 125 ST/ST NICHOLAS AV,AMSTERDAM AV/W 150 ST,W 125 ST/ADAM C POWELL BL,AMSTERDAM AV/W 149 ST,10 AV/W 211 ST,10 AV/W 202 ST,10 AV/W 214 ST,BROADWAY/W 178 ST,10 AV/W 204 ST,BROADWAY/ARDEN ST,BROADWAY/W 168 ST,W 125 ST/MALCOLM X  BL,AMSTERDAM AV/W 140 ST,E 125 ST/2 AV,AMSTERDAM AV/W 143 ST,ST NICHOLAS AV/W 163 ST,E 125 ST/PARK AV,W 125 ST/FRED DOUGLASS BL,E 125 ST/5 AV,BROADWAY/W 181 ST,BROADWAY/W 185 ST,AMSTERDAM AV/W 135 ST,ST NICHOLAS AV/W 167 ST,10 AV/SHERMAN AV,W 125 ST/MORNINGSIDE AV,BROADWAY/W 172 ST,W 166 ST/ST NICHOLAS AV,AMSTERDAM AV/W 151 ST,AMSTERDAM AV/W 148 ST,BROADWAY/W 175 ST,AMSTERDAM AV/W 126 ST,ST NICHOLAS AV/W 164 ST,W 125 ST/AMSTERDAM AV,10 AV/HARLEM RIVER DR,10 AV/W 207 ST,BROADWAY/W 183 ST,BROADWAY/W 192 ST,DYCKMAN ST/FT. GEORGE HILL,E 127 ST/ 2 AV,BROADWAY/FAIRVIEW AV,10 AV/W 215 ST,AMSTERDAM AV/W 133 ST,AMSTERDAM AV/W 152 ST,E 125 ST/MADISON AV,BROADWAY/W 196 ST,BROADWAY/W 189 ST,BROADWAY/BENNETT AV,W 125 ST/MALCOLM X BL,3 AV/E 125 ST,AMSTERDAM AV/W 129 ST,Kingsbridge Depot (KB)
BROADWAY/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,
E 127 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 E HARLEM 2 AV-127 ST,,,,,,,,,,,,
BROADWAY/RIVERSIDE DR,,,,,,,,,,,,0.256 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 161 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 156 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 E HARLEM 2 AV-127 ST,,,,,,,,
DYCKMAN ST/10 AV,,,,,,,,,,,,,,,,,,,0.325 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 145 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,0.165 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 E HARLEM 2 AV-127 ST,,,,,
DYCKMAN ST/BROADWAY,,,,,,,,,,,,,,0.247 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 176 ST,0.169 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 158 ST,,,,0.235 INWOOD 220 ST via AMSTERDAM via BROADWAY,0.203 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/DONGAN PL,,,,,,,,,,,,,,,,0.145 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 131 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,0.181 E HARLEM 2 AV-127 ST,
DYCKMAN ST/SHERMAN AV,,,0.327 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,
E 125 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/SHERMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 E HARLEM 2 AV-127 ST,,,,
W 125 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,
BROADWAY/W 220 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYCKMAN ST/NAGLE AV,,,,,,,,,,,,,,0.244 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 173 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 162 ST,,,,,,,,,,,0.658 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,0.195 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 171 ST,,,,,,,,,,,,,,,,,,,,,0.138 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.105 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,
AMSTERDAM AV/W 155 ST,,,,,,,,,,,0.245 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 E HARLEM 2 AV-127 ST,,
BROADWAY/W 193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,
W 125 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,0.435 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 E HARLEM 2 AV-127 ST,,,,,,0.331 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,
10 AV/W 202 ST,,,,,,0.301 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,
10 AV/W 214 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.715 to depot of M100
BROADWAY/W 178 ST,,,,,,,,,,0.354 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 204 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ARDEN ST,,,,,,,,,0.167 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X  BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 140 ST,,,,,,,,,,,,,,,,,,,,,,,0.156 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,0.286 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/2 AV,,,,,,,,,,,,,,,0.217 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 143 ST,,,,,,,0.165 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,
W 125 ST/FRED DOUGLASS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 INWOOD 220 ST via AMSTERDAM via BROADWAY,,0.331 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 E HARLEM 2 AV-127 ST,,,,,,,
BROADWAY/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,
BROADWAY/W 185 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.171 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,0.301 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 135 ST,,,,,,,,,,,,,0.327 E HARLEM 2 AV-127 ST,,,,,,,,,,0.195 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 167 ST,,,,,,,,,,,,,,,,,,,,,,,,0.359 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/SHERMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,
W 125 ST/MORNINGSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 172 ST,,,,,,,,,,,,,,,,,,,,0.16 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 166 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 151 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 148 ST,,,,,,,0.242 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 126 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073 INWOOD 220 ST via AMSTERDAM via BROADWAY,
ST NICHOLAS AV/W 164 ST,,,,,,,,,,,,,,,,,,,,,,0.249 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 E HARLEM 2 AV-127 ST,,,,,,0.107 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,
10 AV/HARLEM RIVER DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,0.261 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 192 ST,,,,,,,,0.198 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYCKMAN ST/FT. GEORGE HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,
E 127 ST/ 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/FAIRVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 215 ST,,,,,,,,,,,,,,,,,,1.487 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 133 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/MADISON AV,,,,,,,,,,,,,,,,,0.156 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 196 ST,,,,,,,,,,,,,,,,0.147 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 189 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.105 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,
BROADWAY/BENNETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,
W 125 ST/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 125 ST,,0.338 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 129 ST,,,,,,,,,,,,,0.181 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
